Name,Vector1,Vector2,Row,Column,F,Well,Compound,Concentration
r04c23f05p01-sk1fk1fl1.tiff,-1.3931392,-3.2227323,D,23,05,D23,DMSO,
r04c23f06p01-sk1fk1fl1.tiff,-2.3636549,-1.4906675,D,23,06,D23,DMSO,
r04c23f07p01-sk1fk1fl1.tiff,-3.0952327,-3.7493098,D,23,07,D23,DMSO,
r04c23f08p01-sk1fk1fl1.tiff,-2.3172357,-3.9890351,D,23,08,D23,DMSO,
r04c23f09p01-sk1fk1fl1.tiff,-3.1767673,-2.93623,D,23,09,D23,DMSO,
r04c24f01p01-sk1fk1fl1.tiff,-1.8652134,-3.9771607,D,24,01,D24,DMSO,
r04c24f02p01-sk1fk1fl1.tiff,-1.7495492,-1.9912125,D,24,02,D24,DMSO,
r04c24f03p01-sk1fk1fl1.tiff,-1.9696977,-3.4203892,D,24,03,D24,DMSO,
r04c24f04p01-sk1fk1fl1.tiff,-1.3358792,-2.929308,D,24,04,D24,DMSO,
r04c24f05p01-sk1fk1fl1.tiff,-2.5791798,-1.7620603,D,24,05,D24,DMSO,
r04c24f06p01-sk1fk1fl1.tiff,-1.6963786,-1.8220342,D,24,06,D24,DMSO,
r04c24f07p01-sk1fk1fl1.tiff,-2.7352667,-1.782774,D,24,07,D24,DMSO,
r04c24f08p01-sk1fk1fl1.tiff,-2.732601,-3.8822262,D,24,08,D24,DMSO,
r04c24f09p01-sk1fk1fl1.tiff,-1.9514775,-3.2094302,D,24,09,D24,DMSO,
r05c01f01p01-sk1fk1fl1.tiff,0.41772053,0.9771269,E,01,01,E01,Nocodazole,50
r05c01f02p01-sk1fk1fl1.tiff,0.8107662,1.5969759,E,01,02,E01,Nocodazole,50
r05c01f03p01-sk1fk1fl1.tiff,0.43767652,0.10893761,E,01,03,E01,Nocodazole,50
r05c01f04p01-sk1fk1fl1.tiff,0.047011342,0.7693584,E,01,04,E01,Nocodazole,50
r05c01f05p01-sk1fk1fl1.tiff,0.2877378,0.81150615,E,01,05,E01,Nocodazole,50
r05c01f06p01-sk1fk1fl1.tiff,0.56108356,0.6041207,E,01,06,E01,Nocodazole,50
r05c01f07p01-sk1fk1fl1.tiff,0.23123458,0.79605424,E,01,07,E01,Nocodazole,50
r05c01f08p01-sk1fk1fl1.tiff,0.46901232,0.57938176,E,01,08,E01,Nocodazole,50
r05c01f09p01-sk1fk1fl1.tiff,-0.6231725,-1.1764033,E,01,09,E01,Nocodazole,50
r05c02f01p01-sk1fk1fl1.tiff,-0.8127097,-0.58406705,E,02,01,E02,Nocodazole,25
r05c02f02p01-sk1fk1fl1.tiff,-0.41440943,-3.8574905,E,02,02,E02,Nocodazole,25
r05c02f03p01-sk1fk1fl1.tiff,-0.2704577,-1.4589589,E,02,03,E02,Nocodazole,25
r05c02f04p01-sk1fk1fl1.tiff,-0.43407646,-3.8140059,E,02,04,E02,Nocodazole,25
r05c02f05p01-sk1fk1fl1.tiff,-0.16579917,-2.8319714,E,02,05,E02,Nocodazole,25
r05c02f06p01-sk1fk1fl1.tiff,-0.47302616,-1.6675228,E,02,06,E02,Nocodazole,25
r05c02f07p01-sk1fk1fl1.tiff,-0.09358656,0.16434512,E,02,07,E02,Nocodazole,25
r05c02f08p01-sk1fk1fl1.tiff,-0.39706358,-1.7768984,E,02,08,E02,Nocodazole,25
r05c02f09p01-sk1fk1fl1.tiff,-0.568642,-0.57313526,E,02,09,E02,Nocodazole,25
r05c12f01p01-sk1fk1fl1.tiff,-0.045966174,0.6900471,E,12,01,E12,Nocodazole,50
r05c12f02p01-sk1fk1fl1.tiff,0.14133313,0.69543844,E,12,02,E12,Nocodazole,50
r05c12f03p01-sk1fk1fl1.tiff,-0.006410621,0.86210114,E,12,03,E12,Nocodazole,50
r05c12f04p01-sk1fk1fl1.tiff,-0.68281525,-4.012138,E,12,04,E12,Nocodazole,50
r05c12f05p01-sk1fk1fl1.tiff,-0.16253774,0.56386364,E,12,05,E12,Nocodazole,50
r05c12f06p01-sk1fk1fl1.tiff,-0.73312813,-2.9927087,E,12,06,E12,Nocodazole,50
r05c12f07p01-sk1fk1fl1.tiff,-3.2047024,-2.6211576,E,12,07,E12,Nocodazole,50
r05c12f08p01-sk1fk1fl1.tiff,-0.74976844,-2.5262043,E,12,08,E12,Nocodazole,50
